customer_id,income_tier,car_model,battery_capacity_kwh
C2122,Mid-Range,MG Comet EV,17.3
C2123,Low-Mid,Tata Tiago EV,24.0
C2124,Mid-Range,Mahindra e2o Plus,18.5
C2125,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2126,Mid-Range,Citroen eC3,29.2
C2127,Mid-Range,Hyundai Kona Electric,39.2
C2128,Low-Mid,Tata Tigor EV Base,21.5
C2129,Low-Mid,Tata Tigor EV Base,21.5
C2130,Mid-Range,Tata Tigor EV,26.0
C2131,High,BYD Atto 3 Superior,60.5
C2132,Low-Mid,Tata Tigor EV Base,21.5
C2133,Low-Mid,Hero Electric Optima,12.0
C2134,Low-Mid,Greaves Eltra,16.0
C2135,Low-Mid,Ampere Nexus,30.0
C2136,Mid-Range,MG Comet EV,17.3
C2137,High,Tata Nexon EV Max,40.5
C2138,Low-Mid,Ather 450X (4W equiv),20.0
C2139,High,Kia EV6,77.4
C2140,Low-Mid,Ampere Nexus,30.0
C2141,Low-Mid,Hero Electric Optima,12.0
C2142,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2143,Mid-Range,Tata Tigor EV,26.0
C2144,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2145,Low-Mid,Ampere Nexus,30.0
C2146,Low-Mid,Tata Tiago EV,24.0
C2147,Mid-Range,Tata Nexon EV,30.2
C2148,Mid-Range,MG Comet EV,17.3
C2149,Low-Mid,Tata Tiago EV,24.0
C2150,Low-Mid,Greaves Eltra,16.0
C2151,Low-Mid,Citroen eC3 Feel,29.2
C2152,Mid-Range,Tata Tigor EV,26.0
C2153,Low-Mid,Greaves Eltra,16.0
C2154,Low-Mid,Citroen eC3 Feel,29.2
C2155,Mid-Range,Tata Nexon EV,30.2
C2156,Low-Mid,Ampere Nexus,30.0
C2157,High,Hyundai Ioniq 5,72.6
C2158,Mid-Range,MG Comet EV,17.3
C2159,Low-Mid,Hero Electric Optima,12.0
C2160,Low-Mid,Ampere Nexus,30.0
C2161,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2162,Low-Mid,Ather 450X (4W equiv),20.0
C2163,Low-Mid,Ampere Nexus,30.0
C2164,Low-Mid,Hero Electric Optima,12.0
C2165,Low-Mid,Tata Tigor EV Base,21.5
C2166,High,Hyundai Ioniq 5,72.6
C2167,Mid-Range,MG Comet EV,17.3
C2168,Mid-Range,Tata Punch EV,35.0
C2169,Mid-Range,Mahindra e2o Plus,18.5
C2170,Low-Mid,Greaves Eltra,16.0
C2171,Mid-Range,Tata Tigor EV,26.0
C2172,Low-Mid,Citroen eC3 Feel,29.2
C2173,Low-Mid,Ather 450X (4W equiv),20.0
C2174,Low-Mid,Ampere Nexus,30.0
C2175,Low-Mid,Greaves Eltra,16.0
C2176,Low-Mid,Ampere Nexus,30.0
C2177,Mid-Range,Tata Nexon EV,30.2
C2178,Low-Mid,Ampere Nexus,30.0
C2179,Low-Mid,Greaves Eltra,16.0
C2180,Low-Mid,Ampere Nexus,30.0
C2181,Low-Mid,Citroen eC3 Feel,29.2
C2182,Mid-Range,Tata Nexon EV,30.2
C2183,Mid-Range,Citroen eC3,29.2
C2184,Low-Mid,Ampere Nexus,30.0
C2185,Mid-Range,Tata Tigor EV,26.0
C2186,Low-Mid,Tata Tigor EV Base,21.5
C2187,Low-Mid,Greaves Eltra,16.0
C2188,Low-Mid,Tata Tiago EV,24.0
C2189,High,Hyundai Ioniq 5,72.6
C2190,Low-Mid,Ather 450X (4W equiv),20.0
C2191,Low-Mid,Ather 450X (4W equiv),20.0
C2192,High,Mercedes EQB,66.5
C2193,Mid-Range,Citroen eC3,29.2
C2194,Low-Mid,Tata Tiago EV,24.0
C2195,Low-Mid,Greaves Eltra,16.0
C2196,Mid-Range,Tata Tigor EV,26.0
C2197,Low-Mid,Citroen eC3 Feel,29.2
C2198,Mid-Range,Tata Nexon EV,30.2
C2199,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2200,Mid-Range,Hyundai Kona Electric,39.2
C2201,Low-Mid,Ather 450X (4W equiv),20.0
C2202,Low-Mid,Tata Tiago EV,24.0
C2203,Low-Mid,Ather 450X (4W equiv),20.0
C2204,Mid-Range,Mahindra e2o Plus,18.5
C2205,Mid-Range,Tata Tigor EV,26.0
C2206,Mid-Range,Tata Punch EV,35.0
C2207,High,BMW iX1,66.5
C2208,High,MG ZS EV Exclusive,50.3
C2209,Low-Mid,Greaves Eltra,16.0
C2210,Mid-Range,MG Comet EV,17.3
C2211,Mid-Range,Citroen eC3,29.2
C2212,Mid-Range,Citroen eC3,29.2
C2213,Low-Mid,Ather 450X (4W equiv),20.0
C2214,Mid-Range,Tata Punch EV,35.0
C2215,Low-Mid,Ampere Nexus,30.0
C2216,High,MG ZS EV Exclusive,50.3
C2217,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2218,Low-Mid,Hero Electric Optima,12.0
C2219,Low-Mid,Tata Tigor EV Base,21.5
C2220,Low-Mid,Greaves Eltra,16.0
C2221,Mid-Range,MG Comet EV,17.3
C2222,Low-Mid,Ather 450X (4W equiv),20.0
C2223,Mid-Range,Citroen eC3,29.2
C2224,Mid-Range,Mahindra e2o Plus,18.5
C2225,High,Kia EV6,77.4
C2226,Low-Mid,Citroen eC3 Feel,29.2
C2227,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2228,High,Volvo XC40 Recharge,75.0
C2229,Mid-Range,MG Comet EV,17.3
C2230,Low-Mid,Ather 450X (4W equiv),20.0
C2231,Low-Mid,Hero Electric Optima,12.0
C2232,Low-Mid,Greaves Eltra,16.0
C2233,Low-Mid,Tata Tigor EV Base,21.5
C2234,Low-Mid,Tata Tiago EV,24.0
C2235,Low-Mid,Hero Electric Optima,12.0
C2236,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2237,Mid-Range,MG Comet EV,17.3
C2238,Low-Mid,Tata Tigor EV Base,21.5
C2239,Low-Mid,Tata Tigor EV Base,21.5
C2240,Mid-Range,Tata Nexon EV,30.2
C2241,Low-Mid,Ampere Nexus,30.0
C2242,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2243,Mid-Range,Tata Nexon EV,30.2
C2244,Low-Mid,Tata Tiago EV,24.0
C2245,Mid-Range,Tata Tigor EV,26.0
C2246,Low-Mid,Citroen eC3 Feel,29.2
C2247,Mid-Range,Tata Nexon EV,30.2
C2248,Low-Mid,Hero Electric Optima,12.0
C2249,Low-Mid,Ather 450X (4W equiv),20.0
C2250,Low-Mid,Hero Electric Optima,12.0
C2251,Mid-Range,Hyundai Kona Electric,39.2
C2252,High,Mercedes EQB,66.5
C2253,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2254,Mid-Range,Citroen eC3,29.2
C2255,Mid-Range,Tata Nexon EV,30.2
C2256,Mid-Range,Hyundai Kona Electric,39.2
C2257,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2258,High,Kia EV6,77.4
C2259,Low-Mid,Citroen eC3 Feel,29.2
C2260,Mid-Range,Citroen eC3,29.2
C2261,Mid-Range,Tata Punch EV,35.0
C2262,Mid-Range,Mahindra e2o Plus,18.5
C2263,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2264,Mid-Range,Hyundai Kona Electric,39.2
C2265,Low-Mid,Citroen eC3 Feel,29.2
C2266,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2267,Low-Mid,Greaves Eltra,16.0
C2268,Low-Mid,Ampere Nexus,30.0
C2269,Low-Mid,Greaves Eltra,16.0
C2270,High,Mercedes EQB,66.5
C2271,Mid-Range,Hyundai Kona Electric,39.2
C2272,Low-Mid,Greaves Eltra,16.0
C2273,High,MG ZS EV Exclusive,50.3
C2274,Mid-Range,Citroen eC3,29.2
C2275,Mid-Range,Citroen eC3,29.2
C2276,Low-Mid,Ather 450X (4W equiv),20.0
C2277,Low-Mid,Greaves Eltra,16.0
C2278,Mid-Range,Tata Punch EV,35.0
C2279,Low-Mid,Greaves Eltra,16.0
C2280,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2281,Low-Mid,Tata Tigor EV Base,21.5
C2282,Low-Mid,Ather 450X (4W equiv),20.0
C2283,Mid-Range,Tata Nexon EV,30.2
C2284,Mid-Range,Hyundai Kona Electric,39.2
C2285,Low-Mid,Citroen eC3 Feel,29.2
C2286,Mid-Range,Mahindra e2o Plus,18.5
C2287,Mid-Range,Tata Tigor EV,26.0
C2288,High,Hyundai Ioniq 5,72.6
C2289,Low-Mid,Hero Electric Optima,12.0
C2290,Low-Mid,Ampere Nexus,30.0
C2291,Mid-Range,Mahindra e2o Plus,18.5
C2292,Mid-Range,Mahindra e2o Plus,18.5
C2293,Low-Mid,Hero Electric Optima,12.0
C2294,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2295,Low-Mid,Tata Tiago EV,24.0
C2296,Mid-Range,Tata Nexon EV,30.2
C2297,High,Hyundai Ioniq 5,72.6
C2298,Low-Mid,Ather 450X (4W equiv),20.0
C2299,High,Hyundai Ioniq 5,72.6
C2300,Low-Mid,Ather 450X (4W equiv),20.0
C2301,Low-Mid,Citroen eC3 Feel,29.2
C2302,Mid-Range,Tata Punch EV,35.0
C2303,Low-Mid,Ather 450X (4W equiv),20.0
C2304,Mid-Range,Hyundai Kona Electric,39.2
C2305,Low-Mid,Citroen eC3 Feel,29.2
C2306,Low-Mid,Tata Tigor EV Base,21.5
C2307,Mid-Range,Tata Punch EV,35.0
C2308,High,MG ZS EV Exclusive,50.3
C2309,Low-Mid,Tata Tigor EV Base,21.5
C2310,Low-Mid,Tata Tiago EV,24.0
C2311,Mid-Range,Mahindra e2o Plus,18.5
C2312,High,MG ZS EV Exclusive,50.3
C2313,Low-Mid,Greaves Eltra,16.0
C2314,Low-Mid,Hero Electric Optima,12.0
C2315,Low-Mid,Greaves Eltra,16.0
C2316,Mid-Range,Tata Nexon EV,30.2
C2317,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2318,Low-Mid,Citroen eC3 Feel,29.2
C2319,Low-Mid,Tata Tigor EV Base,21.5
C2320,Low-Mid,Tata Tigor EV Base,21.5
C2321,Low-Mid,Ampere Nexus,30.0
C2322,Low-Mid,Citroen eC3 Feel,29.2
C2323,Mid-Range,MG Comet EV,17.3
C2324,Low-Mid,Ampere Nexus,30.0
C2325,Low-Mid,Tata Tigor EV Base,21.5
C2326,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2327,Low-Mid,Ampere Nexus,30.0
C2328,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2329,Low-Mid,Ather 450X (4W equiv),20.0
C2330,Low-Mid,Tata Tigor EV Base,21.5
C2331,Mid-Range,MG Comet EV,17.3
C2332,Mid-Range,Tata Tigor EV,26.0
C2333,Low-Mid,Tata Tigor EV Base,21.5
C2334,Low-Mid,Ampere Nexus,30.0
C2335,Mid-Range,Hyundai Kona Electric,39.2
C2336,Low-Mid,Ampere Nexus,30.0
C2337,Low-Mid,Ather 450X (4W equiv),20.0
C2338,Mid-Range,Hyundai Kona Electric,39.2
C2339,Mid-Range,Tata Nexon EV,30.2
C2340,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2341,Mid-Range,Hyundai Kona Electric,39.2
C2342,High,Kia EV6,77.4
C2343,Mid-Range,Tata Nexon EV,30.2
C2344,High,Audi e-tron 55,95.0
C2345,Mid-Range,Mahindra e2o Plus,18.5
C2346,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2347,High,BYD Atto 3 Superior,60.5
C2348,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2349,Low-Mid,Ather 450X (4W equiv),20.0
C2350,Mid-Range,Citroen eC3,29.2
C2351,Low-Mid,Ampere Nexus,30.0
C2352,Mid-Range,Mahindra e2o Plus,18.5
C2353,Low-Mid,Hero Electric Optima,12.0
C2354,Low-Mid,Hero Electric Optima,12.0
C2355,Low-Mid,Greaves Eltra,16.0
C2356,Low-Mid,Tata Tiago EV,24.0
C2357,Low-Mid,Ather 450X (4W equiv),20.0
C2358,Low-Mid,Citroen eC3 Feel,29.2
C2359,Mid-Range,MG Comet EV,17.3
C2360,Low-Mid,Greaves Eltra,16.0
C2361,High,Hyundai Ioniq 5,72.6
C2362,Low-Mid,Tata Tiago EV,24.0
C2363,Mid-Range,Tata Nexon EV,30.2
C2364,Low-Mid,Tata Tigor EV Base,21.5
C2365,Low-Mid,Ather 450X (4W equiv),20.0
C2366,Mid-Range,Tata Punch EV,35.0
C2367,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2368,High,Mercedes EQB,66.5
C2369,Mid-Range,Tata Nexon EV,30.2
C2370,Mid-Range,Tata Punch EV,35.0
C2371,Mid-Range,MG Comet EV,17.3
C2372,Low-Mid,Ampere Nexus,30.0
C2373,Mid-Range,Hyundai Kona Electric,39.2
C2374,Low-Mid,Tata Tiago EV,24.0
C2375,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2376,Low-Mid,Ather 450X (4W equiv),20.0
C2377,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2378,Low-Mid,Tata Tigor EV Base,21.5
C2379,High,Audi e-tron 55,95.0
C2380,Low-Mid,Tata Tiago EV,24.0
C2381,Low-Mid,Tata Tigor EV Base,21.5
C2382,Mid-Range,Hyundai Kona Electric,39.2
C2383,Low-Mid,Tata Tiago EV,24.0
C2384,Mid-Range,Citroen eC3,29.2
C2385,Low-Mid,Ampere Nexus,30.0
C2386,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2387,Low-Mid,Citroen eC3 Feel,29.2
C2388,Low-Mid,Tata Tigor EV Base,21.5
C2389,Mid-Range,Tata Tigor EV,26.0
C2390,Mid-Range,Tata Punch EV,35.0
C2391,Mid-Range,Citroen eC3,29.2
C2392,High,BMW iX1,66.5
C2393,Mid-Range,Mahindra e2o Plus,18.5
C2394,Mid-Range,Tata Nexon EV,30.2
C2395,Mid-Range,Tata Tigor EV,26.0
C2396,Low-Mid,Tata Tigor EV Base,21.5
C2397,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2398,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2399,Low-Mid,Tata Tiago EV,24.0
C2400,Low-Mid,Ather 450X (4W equiv),20.0
C2401,Low-Mid,Ather 450X (4W equiv),20.0
C2402,Mid-Range,Tata Nexon EV,30.2
C2403,Low-Mid,Hero Electric Optima,12.0
C2404,Low-Mid,Ather 450X (4W equiv),20.0
C2405,Low-Mid,Hero Electric Optima,12.0
C2406,Mid-Range,Tata Nexon EV,30.2
C2407,High,BMW iX1,66.5
C2408,Low-Mid,Ampere Nexus,30.0
C2409,Low-Mid,Ampere Nexus,30.0
C2410,Low-Mid,Greaves Eltra,16.0
C2411,High,Volvo XC40 Recharge,75.0
C2412,Mid-Range,Tata Punch EV,35.0
C2413,Mid-Range,Tata Punch EV,35.0
C2414,Low-Mid,Ampere Nexus,30.0
C2415,High,Kia EV6,77.4
C2416,Mid-Range,Tata Nexon EV,30.2
C2417,High,BYD Atto 3 Superior,60.5
C2418,Low-Mid,Citroen eC3 Feel,29.2
C2419,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2420,Mid-Range,MG Comet EV,17.3
C2421,Mid-Range,MG Comet EV,17.3
C2422,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2423,High,Tata Nexon EV Max,40.5
C2424,Mid-Range,Mahindra e2o Plus,18.5
C2425,Low-Mid,Ather 450X (4W equiv),20.0
C2426,Mid-Range,Tata Tigor EV,26.0
C2427,High,BMW iX1,66.5
C2428,High,Mercedes EQB,66.5
C2429,Mid-Range,Tata Tigor EV,26.0
C2430,High,Audi e-tron 55,95.0
C2431,High,Mercedes EQB,66.5
C2432,Low-Mid,Tata Tiago EV,24.0
C2433,Mid-Range,Tata Punch EV,35.0
C2434,Low-Mid,Ampere Nexus,30.0
C2435,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2436,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2437,Low-Mid,Citroen eC3 Feel,29.2
C2438,Mid-Range,Tata Tigor EV,26.0
C2439,Mid-Range,MG Comet EV,17.3
C2440,Low-Mid,Greaves Eltra,16.0
C2441,Mid-Range,MG Comet EV,17.3
C2442,High,Kia EV6,77.4
C2443,Mid-Range,Mahindra e2o Plus,18.5
C2444,Mid-Range,Mahindra e2o Plus,18.5
C2445,Low-Mid,Ampere Nexus,30.0
C2446,High,Volvo XC40 Recharge,75.0
C2447,High,BMW iX1,66.5
C2448,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2449,Low-Mid,Tata Tigor EV Base,21.5
C2450,High,Mercedes EQB,66.5
C2451,Low-Mid,Ather 450X (4W equiv),20.0
C2452,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2453,Low-Mid,Citroen eC3 Feel,29.2
C2454,Mid-Range,Mahindra e2o Plus,18.5
C2455,Mid-Range,Tata Tigor EV,26.0
C2456,Low-Mid,Tata Tiago EV,24.0
C2457,Mid-Range,Hyundai Kona Electric,39.2
C2458,Low-Mid,Hero Electric Optima,12.0
C2459,Low-Mid,Greaves Eltra,16.0
C2460,Mid-Range,Tata Tigor EV,26.0
C2461,Mid-Range,Tata Punch EV,35.0
C2462,Low-Mid,Greaves Eltra,16.0
C2463,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2464,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2465,Mid-Range,Tata Tigor EV,26.0
C2466,Mid-Range,Hyundai Kona Electric,39.2
C2467,Low-Mid,Hero Electric Optima,12.0
C2468,Low-Mid,Tata Tiago EV,24.0
C2469,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2470,High,Audi e-tron 55,95.0
C2471,Low-Mid,Ampere Nexus,30.0
C2472,Low-Mid,Ather 450X (4W equiv),20.0
C2473,Low-Mid,Hero Electric Optima,12.0
C2474,Low-Mid,Hero Electric Optima,12.0
C2475,Mid-Range,MG Comet EV,17.3
C2476,High,Mercedes EQB,66.5
C2477,Low-Mid,Hero Electric Optima,12.0
C2478,Mid-Range,Tata Punch EV,35.0
C2479,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2480,Low-Mid,Ampere Nexus,30.0
C2481,Low-Mid,Citroen eC3 Feel,29.2
C2482,Low-Mid,Tata Tiago EV,24.0
C2483,High,Volvo XC40 Recharge,75.0
C2484,Low-Mid,Ampere Nexus,30.0
C2485,High,Hyundai Ioniq 5,72.6
C2486,Low-Mid,Hero Electric Optima,12.0
C2487,Mid-Range,MG Comet EV,17.3
C2488,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2489,Low-Mid,Hero Electric Optima,12.0
C2490,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2491,Mid-Range,Mahindra e2o Plus,18.5
C2492,Mid-Range,MG Comet EV,17.3
C2493,Low-Mid,Citroen eC3 Feel,29.2
C2494,Low-Mid,Tata Tigor EV Base,21.5
C2495,Low-Mid,Tata Tiago EV,24.0
C2496,Low-Mid,Hero Electric Optima,12.0
C2497,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2498,Low-Mid,Hero Electric Optima,12.0
C2499,High,BYD Atto 3 Superior,60.5
C2500,Mid-Range,Citroen eC3,29.2
C2501,Low-Mid,Tata Tiago EV,24.0
C2502,Low-Mid,Citroen eC3 Feel,29.2
C2503,Low-Mid,Tata Tigor EV Base,21.5
C2504,Low-Mid,Tata Tiago EV,24.0
C2505,Low-Mid,Greaves Eltra,16.0
C2506,Low-Mid,Ampere Nexus,30.0
C2507,Low-Mid,Hero Electric Optima,12.0
C2508,Low-Mid,Greaves Eltra,16.0
C2509,Low-Mid,Ather 450X (4W equiv),20.0
C2510,Mid-Range,MG Comet EV,17.3
C2511,High,MG ZS EV Exclusive,50.3
C2512,Low-Mid,Ather 450X (4W equiv),20.0
C2513,Low-Mid,Tata Tigor EV Base,21.5
C2514,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2515,Mid-Range,Tata Punch EV,35.0
C2516,Low-Mid,Tata Tigor EV Base,21.5
C2517,Low-Mid,Citroen eC3 Feel,29.2
C2518,Low-Mid,Citroen eC3 Feel,29.2
C2519,Mid-Range,Mahindra e2o Plus,18.5
C2520,Low-Mid,Tata Tiago EV,24.0
C2521,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2522,Low-Mid,Ather 450X (4W equiv),20.0
C2523,Low-Mid,Tata Tiago EV,24.0
C2524,Mid-Range,Hyundai Kona Electric,39.2
C2525,Mid-Range,Hyundai Kona Electric,39.2
C2526,High,Audi e-tron 55,95.0
C2527,Mid-Range,MG Comet EV,17.3
C2528,High,Kia EV6,77.4
C2529,Low-Mid,Citroen eC3 Feel,29.2
C2530,Low-Mid,Tata Tiago EV,24.0
C2531,Mid-Range,Tata Tigor EV,26.0
C2532,Low-Mid,Tata Tigor EV Base,21.5
C2533,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2534,Mid-Range,Tata Nexon EV,30.2
C2535,Low-Mid,Citroen eC3 Feel,29.2
C2536,Low-Mid,Citroen eC3 Feel,29.2
C2537,Mid-Range,Hyundai Kona Electric,39.2
C2538,Mid-Range,Hyundai Kona Electric,39.2
C2539,Mid-Range,MG Comet EV,17.3
C2540,Low-Mid,Ather 450X (4W equiv),20.0
C2541,Low-Mid,Tata Tiago EV,24.0
C2542,High,Tata Nexon EV Max,40.5
C2543,Low-Mid,Hero Electric Optima,12.0
C2544,Mid-Range,Mahindra e2o Plus,18.5
C2545,Mid-Range,Hyundai Kona Electric,39.2
C2546,Mid-Range,Hyundai Kona Electric,39.2
C2547,Low-Mid,Tata Tigor EV Base,21.5
C2548,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2549,Low-Mid,Tata Tigor EV Base,21.5
C2550,Mid-Range,Tata Tigor EV,26.0
C2551,Low-Mid,Hero Electric Optima,12.0
C2552,Low-Mid,Hero Electric Optima,12.0
C2553,Low-Mid,Tata Tiago EV,24.0
C2554,Mid-Range,Hyundai Kona Electric,39.2
C2555,Low-Mid,Greaves Eltra,16.0
C2556,Low-Mid,Greaves Eltra,16.0
C2557,Low-Mid,Greaves Eltra,16.0
C2558,Mid-Range,Tata Nexon EV,30.2
C2559,Mid-Range,Tata Nexon EV,30.2
C2560,Mid-Range,Tata Tigor EV,26.0
C2561,High,Tata Nexon EV Max,40.5
C2562,Low-Mid,Ather 450X (4W equiv),20.0
C2563,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2564,Mid-Range,Tata Nexon EV,30.2
C2565,Low-Mid,Tata Tigor EV Base,21.5
C2566,Low-Mid,Hero Electric Optima,12.0
C2567,Low-Mid,Ather 450X (4W equiv),20.0
C2568,Mid-Range,MG Comet EV,17.3
C2569,Low-Mid,Greaves Eltra,16.0
C2570,Mid-Range,Citroen eC3,29.2
C2571,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2572,Mid-Range,Tata Tigor EV,26.0
C2573,Mid-Range,Mahindra e2o Plus,18.5
C2574,Low-Mid,Hero Electric Optima,12.0
C2575,Low-Mid,Ampere Nexus,30.0
C2576,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2577,Mid-Range,Tata Nexon EV,30.2
C2578,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2579,Low-Mid,Greaves Eltra,16.0
C2580,High,Hyundai Ioniq 5,72.6
C2581,High,Hyundai Ioniq 5,72.6
C2582,High,BMW iX1,66.5
C2583,High,MG ZS EV Exclusive,50.3
C2584,Mid-Range,Tata Nexon EV,30.2
C2585,Low-Mid,Hero Electric Optima,12.0
C2586,High,Tata Nexon EV Max,40.5
C2587,Mid-Range,MG Comet EV,17.3
C2588,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2589,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2590,Low-Mid,Greaves Eltra,16.0
C2591,High,Kia EV6,77.4
C2592,Mid-Range,Hyundai Kona Electric,39.2
C2593,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2594,Low-Mid,Tata Tiago EV,24.0
C2595,Low-Mid,Greaves Eltra,16.0
C2596,Low-Mid,Citroen eC3 Feel,29.2
C2597,Mid-Range,Tata Tigor EV,26.0
C2598,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2599,Mid-Range,Tata Punch EV,35.0
C2600,Mid-Range,Tata Punch EV,35.0
C2601,Mid-Range,Tata Tigor EV,26.0
C2602,Low-Mid,Hero Electric Optima,12.0
C2603,Low-Mid,Ather 450X (4W equiv),20.0
C2604,Mid-Range,Tata Nexon EV,30.2
C2605,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2606,High,Hyundai Ioniq 5,72.6
C2607,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2608,High,Volvo XC40 Recharge,75.0
C2609,Mid-Range,Mahindra e2o Plus,18.5
C2610,High,MG ZS EV Exclusive,50.3
C2611,Mid-Range,Tata Tigor EV,26.0
C2612,High,Volvo XC40 Recharge,75.0
C2613,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2614,Low-Mid,Citroen eC3 Feel,29.2
C2615,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2616,Low-Mid,Hero Electric Optima,12.0
C2617,Low-Mid,Ather 450X (4W equiv),20.0
C2618,Low-Mid,Greaves Eltra,16.0
C2619,High,BYD Atto 3 Superior,60.5
C2620,Low-Mid,Tata Tigor EV Base,21.5
C2621,Mid-Range,MG Comet EV,17.3
C2622,Mid-Range,Tata Punch EV,35.0
C2623,Low-Mid,Greaves Eltra,16.0
C2624,High,Audi e-tron 55,95.0
C2625,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2626,Mid-Range,Tata Punch EV,35.0
C2627,Low-Mid,Citroen eC3 Feel,29.2
C2628,Low-Mid,Ampere Nexus,30.0
C2629,High,Volvo XC40 Recharge,75.0
C2630,Low-Mid,Ampere Nexus,30.0
C2631,Low-Mid,Tata Tigor EV Base,21.5
C2632,Mid-Range,Citroen eC3,29.2
C2633,Low-Mid,Tata Tiago EV,24.0
C2634,Mid-Range,Mahindra e2o Plus,18.5
C2635,Mid-Range,MG Comet EV,17.3
C2636,Mid-Range,Hyundai Kona Electric,39.2
C2637,Mid-Range,Tata Tigor EV,26.0
C2638,Low-Mid,Ampere Nexus,30.0
C2639,Low-Mid,Tata Tiago EV,24.0
C2640,Low-Mid,Ola S1 Pro (4W equiv),22.0
C2641,Low-Mid,Citroen eC3 Feel,29.2
C2642,Mid-Range,Hyundai Kona Electric,39.2
C2643,Low-Mid,Ather 450X (4W equiv),20.0
C2644,High,Tata Nexon EV Max,40.5
C2645,Low-Mid,Hero Electric Optima,12.0
C2646,Low-Mid,Greaves Eltra,16.0
C2647,Low-Mid,Hero Electric Optima,12.0
C2648,Low-Mid,Ather 450X (4W equiv),20.0
C2649,High,BYD Atto 3 Superior,60.5
C2650,Low-Mid,Citroen eC3 Feel,29.2
C2651,Low-Mid,Hero Electric Optima,12.0
C2652,Low-Mid,Ather 450X (4W equiv),20.0
C2653,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2654,Low-Mid,Tata Tigor EV Base,21.5
C2655,Mid-Range,Mahindra e2o Plus,18.5
C2656,Mid-Range,Tata Nexon EV,30.2
C2657,High,Tata Nexon EV Max,40.5
C2658,Low-Mid,Ampere Nexus,30.0
C2659,High,BYD Atto 3 Superior,60.5
C2660,Low-Mid,Citroen eC3 Feel,29.2
C2661,Mid-Range,Tata Nexon EV,30.2
C2662,Mid-Range,Mahindra e2o Plus,18.5
C2663,Mid-Range,Tata Tigor EV,26.0
C2664,High,BMW iX1,66.5
C2665,Low-Mid,Hero Electric Optima,12.0
C2666,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2667,Mid-Range,Mahindra e2o Plus,18.5
C2668,High,Mercedes EQB,66.5
C2669,Mid-Range,Mahindra XUV400 EC Pro,39.4
C2670,Low-Mid,Ampere Nexus,30.0
